Sentence #,Word,POS,Tag
Sentence: 1,Early,RB,B-tim
,Cretaceous,JJ,I-tim
,sedimentary,JJ,B-nat
,evolution,NN,I-nat
,of,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,and,CC,O
,the,DT,O
,timing,NN,O
,of,IN,O
,initial,JJ,O
,Lhasa,NNP,B-geo
,-,HYPH,O
,Qiangtang,NNP,O
,collisionWen,NNP,O
,Lai,NNP,O
,a,DT,O
,",",",",O
,Xiumian,NNP,O
,Hu,NNP,O
,a,DT,O
,",",",",O
,",",",",O
,Eduardo,NNP,O
,Garzanti,NNP,O
,b,NN,O
,",",",",O
,Yiwei,NNP,O
,Xu,NNP,O
,a,DT,O
,",",",",O
,Anlin,NNP,O
,Ma,NNP,O
,a,DT,O
,",",",",O
,Wei,NNP,O
,Li,NNP,O
,a,DT,O
,.,.,O
Sentence: 2,Lower,JJR,B-tim
,Cretaceous,JJ,I-tim
,strata,NN,O
,in,IN,O
,the,DT,O
,Baingoin,NNP,B-geo
,basin,NN,O
,of,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,record,NN,O
,initial,JJ,O
,collision,NN,O
,between,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,and,CC,O
,Qiangtang,NNP,B-geo
,blocks,NNS,O
,",",",",O
,followed,VBN,O
,by,IN,O
,the,DT,O
,early,JJ,O
,uplift,NN,O
,of,IN,O
,central,JJ,O
,TibetNorth,NNP,O
,-,HYPH,O
,south,NNP,O
,traverses,VBZ,O
,across,IN,O
,the,DT,O
,Baingoin,NNP,B-geo
,basin,NN,O
,highlight,NN,O
,major,JJ,O
,differences,NNS,O
,between,IN,O
,the,DT,O
,Duba,NNP,B-nat
,Formation,NN,I-nat
,in,IN,O
,the,DT,O
,north,NN,O
,and,CC,O
,the,DT,O
,quasi-coeval,JJ,O
,Duoni,NNP,B-nat
,Formation,NN,I-nat
,in,IN,O
,the,DT,O
,south,NN,O
,.,.,O
Sentence: 3,Abundance,NN,O
,of,IN,O
,detrital,JJ,B-nat
,zircons,NNS,I-nat
,yielding,VBG,O
,Jurassic,JJ,O
,-,HYPH,O
,Cretaceous,JJ,O
,ages,NNS,O
,with,IN,O
,汍Hf,NN,O
,(,-LRB-,O
,t,NN,O
,),-RRB-,O
,values,VBZ,O
,mainly,RB,O
,between,IN,O
,?,SYM,O
,2,CD,O
,and,CC,O
,10,CD,O
,",",",",O
,occurrence,NN,O
,of,IN,O
,chert,NN,O
,",",",",O
,Cr,NN,O
,-,HYPH,O
,spinel,NN,O
,",",",",O
,and,CC,O
,pyroxene,NN,B-nat
,grains,NNS,I-nat
,",",",",O
,together,RB,O
,with,IN,O
,southward,RB,O
,paleocurrent,JJ,O
,directions,NNS,O
,indicate,VBP,O
,that,IN,O
,the,DT,O
,Duba,NNP,B-nat
,Formation,NN,I-nat
,was,VBD,O
,sourced,VBN,O
,from,IN,O
,the,DT,O
,southern,JJ,O
,Qiangtang,NNP,B-geo
,terrane,NN,O
,and,CC,O
,Bangong,NN,O
,-,HYPH,O
,Nujiang,NN,O
,suture,NN,O
,zone,NN,O
,to,IN,O
,the,DT,O
,northThe,JJ,O
,Duoni,NNP,B-nat
,Formation,NN,I-nat
,in,IN,O
,the,DT,O
,south,NN,O
,was,VBD,O
,deposited,VBN,O
,in,IN,O
,shelfal,NN,O
,to,IN,O
,fan,NN,O
,-,HYPH,O
,delta,NN,O
,and,CC,O
,fluvial,JJ,O
,environments,NNS,O
,.,.,O
Sentence: 4,Abundant,JJ,O
,volcanic,JJ,B-nat
,clasts,NNS,I-nat
,",",",",O
,detrital,JJ,B-nat
,zircons,NNS,I-nat
,yielding,VBG,O
,Cretaceous,JJ,B-tim
,ages,NNS,O
,with,IN,O
,mainly,RB,O
,negative,JJ,O
,汍Hf,NN,O
,(,-LRB-,O
,t,NN,O
,),-RRB-,O
,values,NNS,O
,",",",",O
,and,CC,O
,northward,RB,O
,paleocurrents,NNS,O
,indicate,VBP,O
,an,DT,O
,active,JJ,B-nat
,volcanic,JJ,I-nat
,source,NN,I-nat
,located,VBN,O
,in,IN,O
,the,DT,O
,central,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,to,IN,O
,the,DT,O
,south,NN,O
,",",",",O
,with,IN,O
,minor,JJ,O
,input,NN,O
,from,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terraneOnly,NNP,O
,the,DT,O
,northern,JJ,O
,part,NN,O
,of,IN,O
,the,DT,O
,Baingoin,NNP,B-geo
,basin,NN,I-geo
,was,VBD,O
,directly,RB,O
,controlled,VBN,O
,by,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,-,HYPH,
,Qiangtang,NNP,B-geo
,collision,NN,O
,and,CC,O
,may,MD,O
,thus,RB,O
,be,VB,O
,considered,VBN,O
,a,DT,O
,peripheral,JJ,O
,foreland,NN,O
,basin,NN,B-geo
,",",",",O
,whereas,IN,O
,the,DT,O
,southern,JJ,O
,part,NN,O
,was,VBD,O
,mainly,RB,O
,influenced,VBN,O
,by,IN,O
,tectonic,JJ,O
,processes,NNS,O
,related,VBN,O
,to,IN,O
,the,DT,O
,northward,RB,O
,subduction,NN,O
,of,IN,O
,Neotethyan,NNP,O
,lithosphere,NN,O
,",",",",O
,and,CC,O
,may,MD,O
,thus,RB,O
,be,VB,O
,comparable,JJ,O
,to,IN,O
,a,DT,O
,retroarc,JJ,O
,foreland,NN,O
,basin,NN,B-geo
,.,.,O
Sentence: 5,The,DT,O
,Lhasa,NNP,B-geo
,block,NN,O
,",",",",O
,the,DT,O
,last,JJ,O
,microcontinent,NN,O
,accreted,VBN,O
,to,IN,O
,Asia,NNP,O
,before,IN,O
,final,JJ,O
,collision,NN,O
,with,IN,O
,India,NNP,O
,in,IN,O
,the,DT,O
,Paleocene,NNP,B-geo
,",",",",O
,is,VBZ,O
,delimited,VBN,O
,by,IN,O
,the,DT,O
,Indus,NNP,O
,-,HYPH,O
,Yarlung,NNP,O
,suture,NN,O
,in,IN,O
,the,DT,O
,south,NN,O
,and,CC,O
,the,DT,O
,Bangong,NNP,O
,-,HYPH,O
,Nujiang,NNP,O
,suture,NN,O
,in,IN,O
,the,DT,O
,north,NN,O
,(,-LRB-,O
,All豕gre,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1984,CD,O
,;,:,O
,Yin,NNP,O
,and,CC,O
,Harrison,NNP,O
,",",",",O
,2000,CD,O
,;,:,O
,Fig1a,NN,O
,),-RRB-,O
,.,.,O
Sentence: 6,During,IN,O
,the,DT,O
,Cretaceous,JJ,B-tim
,",",",",O
,the,DT,O
,Lhasa,NNP,B-geo
,block,NN,O
,was,VBD,O
,influenced,VBN,O
,by,IN,O
,both,DT,O
,ongoing,JJ,O
,Lhasa,NNP,B-geo
,-,HYPH,O
,Qiangtang,NNP,O
,collision,NN,O
,in,IN,O
,the,DT,O
,north,NN,O
,and,CC,O
,northward,RB,O
,subduction,NN,O
,of,IN,O
,Neotethyan,NNP,O
,lithosphere,NN,O
,in,IN,O
,the,DT,O
,south,NN,O
,(,-LRB-,O
,England,NNP,O
,and,CC,O
,Searle,NNP,O
,",",",",O
,1986,CD,O
,;,:,O
,Pan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2006,CD,O
,;,:,O
,Kapp,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,;,:,O
,Leier,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007b,NN,O
,;,:,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2016,CD,O
,),-RRB-,O
,This,DT,O
,complex,JJ,O
,paleotectonic,JJ,O
,scenario,NN,O
,would,MD,O
,imply,VB,O
,the,DT,O
,development,NN,O
,of,IN,O
,a,DT,O
,peripheral,JJ,O
,foreland,NN,O
,basin,NN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,part,NN,O
,of,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,block,NN,O
,.,.,O
Sentence: 7,When,WRB,O
,was,VBD,O
,the,DT,O
,Bangong,NNP,O
,-,HYPH,B-geo
,Nujiang,NNP,O
,suture,NN,O
,zone,NN,O
,closed,VBD,O
,",",",",O
,uplifted,VBN,O
,",",",",O
,and,CC,O
,exhumed,VBN,O
,?,.,O
,During,IN,O
,the,DT,O
,Early,JJ,B-tim
,Cretaceous,JJ,I-tim
,(,-LRB-,O
,Kapp,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2005,CD,O
,),-RRB-,O
,",",",",O
,before,IN,O
,the,DT,O
,Early,JJ,B-tim
,Eocene,NN,I-tim
,(,-LRB-,O
,Wang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2008,CD,O
,),-RRB-,O
,",",",",O
,or,CC,O
,after,IN,O
,the,DT,O
,India,NNP,B-geo
,-,HYPH,I-geo
,Asia,NNP,B-geo
,collision,NN,O
,onset,NN,O
,(,-LRB-,O
,Rowley,NNP,O
,and,CC,O
,Currie,NNP,O
,",",",",O
,2006,CD,O
,),-RRB-,O
,?,.,O
,Is,VBZ,O
,there,EX,O
,any,DT,O
,direct,JJ,B-nat
,sedimentary,JJ,I-nat
,evidence,NN,B-nat
,in,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,block,NN,O
,that,WDT,O
,may,MD,O
,help,VB,O
,constraining,VBG,O
,the,DT,O
,controversial,JJ,O
,timing,NN,O
,of,IN,O
,initial,JJ,O
,Lhasa,NNP,B-geo
,-,HYPH,I-geo
,Qiangtang,NNP,O
,collision,NN,O
,",",",",O
,ranging,VBG,O
,widely,RB,O
,from,IN,O
,as,RB,O
,early,JJ,O
,as,IN,O
,Middle,JJ,O
,Jurassic,JJ,B-tim
,to,IN,O
,as,IN,O
,late,JJ,O
,as,IN,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,(,-LRB-,O
,Pan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1983,CD,O
,;,:,O
,Leier,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007b,NN,O
,;,:,O
,Baxter,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2009,CD,O
,;,:,O
,Fan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2014,CD,O
,;,:,O
,Yan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2016,CD,O
,;,:,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2016,CD,O
,;,:,O
,Bian,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017,CD,O
,;,:,O
,Li,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017b,NN,O
,;,:,O
,Ma,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017,CD,O
,),-RRB-,O
,?,.,O
,The,DT,O
,aim,NN,O
,of,IN,O
,this,DT,O
,article,NN,O
,is,VBZ,O
,to,TO,O
,investigate,VB,O
,the,DT,O
,Early,JJ,B-tim
,Cretaceous,JJ,I-tim
,sedimentary,JJ,B-nat
,record,NN,I-nat
,of,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,in,IN,O
,order,NN,O
,to,TO,O
,provide,VB,O
,an,DT,O
,answer,NN,O
,to,IN,O
,these,DT,O
,questions,NNS,O
,and,CC,O
,clarify,VB,O
,the,DT,O
,paleogeographic,JJ,O
,and,CC,O
,paleogeodynamic,JJ,B-nat
,evolution,NN,I-nat
,of,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,block,NN,O
,and,CC,O
,Lhasa,NNP,B-geo
,-,HYPH,I-geo
,Qiangtang,NNP,O
,.,.,O
Sentence: 8,The,DT,O
,aim,NN,O
,of,IN,O
,this,DT,O
,article,NN,O
,is,VBZ,O
,to,TO,O
,investigate,VB,O
,the,DT,O
,Early,JJ,B-tim
,Cretaceous,JJ,I-tim
,sedimentary,JJ,B-nat
,record,NN,I-nat
,of,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,in,IN,O
,order,NN,O
,to,TO,O
,provide,VB,O
,an,DT,O
,answer,NN,O
,to,IN,O
,these,DT,O
,questions,NNS,O
,and,CC,O
,clarify,VB,O
,the,DT,O
,paleogeographic,JJ,O
,and,CC,O
,paleogeodynamic,JJ,B-nat
,evolution,NN,I-nat
,of,IN,O
,the,DT,O
